Arbeidsdeelname en werkloosheid per maand ;;;;;;;
;Onderwerpen;Werkloze beroepsbevolking;Werkloze beroepsbevolking;Werkloze beroepsbevolking;Werkloze beroepsbevolking;Werkloze beroepsbevolking;Werkloze beroepsbevolking
;Onderwerpen;Werkloze beroepsbevolking;Werkloze beroepsbevolking;Werkloze beroepsbevolking;Seizoengecorrigeerd;Seizoengecorrigeerd;Seizoengecorrigeerd
;Geslacht;Totaal;Mannen;Vrouwen;Totaal;Mannen;Vrouwen
Leeftijd;Perioden;x 1000;x 1000;x 1000;x 1000;x 1000;x 1000
15 tot 75 jaar;2015 augustus;570;291;279;604;308;295
15 tot 75 jaar;2015 september;608;307;301;609;308;300
15 tot 75 jaar;2015 oktober;617;311;306;616;313;303
15 tot 75 jaar;2015 november;591;294;297;596;296;300
15 tot 75 jaar;2015 december;565;287;277;588;298;290
15 tot 75 jaar;2015;614;313;301; ; ; 
15 tot 75 jaar;2016 januari;612;306;298;574;289;285
15 tot 75 jaar;2016 februari;602;307;304;581;292;289
15 tot 75 jaar;2016 maart;599;301;298;574;288;285
15 tot 75 jaar;2016 april;587;296;291;572;287;285
15 tot 75 jaar;2016 mei;557;284;273;560;283;277
15 tot 75 jaar;2016 juni;528;261;267;550;275;275
15 tot 75 jaar;2016 juli;517;259;258;541;269;272
15 tot 75 jaar;2016 augustus;484;241;243;521;260;261
15 tot 75 jaar;2016 september;514;253;260;510;253;257
15 tot 75 jaar;2016 oktober;510;247;263;502;246;257
15 tot 75 jaar;2016 november;495;236;259;499;240;259
15 tot 75 jaar;2016 december;458;222;236;482;233;249
15 tot 75 jaar;2016;538;268;271; ; ; 
15 tot 75 jaar;2017  januari;509;246;263;480;231;249
15 tot 75 jaar;2017 februari;504;249;255;473;233;240
15 tot 75 jaar;2017 maart;489;244;245;463;231;232
15 tot 75 jaar;2017 april;471;231;240;456;223;233
15 tot 75 jaar;2017 mei;456;224;232;456;221;235
15 tot 75 jaar;2017 juni;425;207;218;446;220;226
15 tot 75 jaar;2017 juli;413;207;206;436;216;220
15 tot 75 jaar;2017 augustus;388;195;193;426;212;213
� Centraal Bureau voor de Statistiek, Den Haag/Heerlen 10-10-2017;;;;;;;
